"Reference","Value","manf#","mouser#","Qty"
"ACCESSORY1, ACCESSORY2","ACCESSORY_rubber_feet","550","485-550 ","2"
"ACCESSORY3-ACCESSORY40","ACCESSORY_jumper","881545-1","571-8815451","38"
"C1, C3, C4","10u","GRM188R61E106KA3D","81-GRM188R61E106KA3D","3"
"C2, C8, C10-C20, C22, C24-C31","10n","CGA3E2X7R1H103K","810-CGA3E2X7R1H103K","22"
"C5, C6, C23","100n","C1608X5R1H104K","810-C1608X5R1H104K","3"
"D1","1A0","BAS3010A03WE6327HTSA1","726-BAS3010A-03WE6","1"
"D2, D3, D5, D9, D11, D13, D14, D19, D21, D22, D29, D41, D76, D81, D92-D94, D96","LED_0603_RED","APHD1608LSURCK","604-APHD1608LSURCK","18"
"D4, D6-D8, D10, D12, D15-D18, D20, D23-D28, D30-D40, D42-D75, D77-D80, D82-D91, D95, D97-D151","LED_0603_BLUE","APHD1608LVBC/D","604-APHD1608LVBCD","132"
"IC1-IC3","ADG708BRUZ","ADG708BRUZ","584-ADG708BRUZ","3"
"J1","USBC_GTC_USB4110-GF-A","USB4110-GF-A","640-USB4110-GF-A","1"
"J2","TSW-102-07-G-T","TSW-102-07-G-T","200-TSW10207GT","1"
"J3","Conn_02x09_Male","M20-9980946","855-M20-9980946","1"
"J4, J5, J7, J8","Conn_02x08_Male","M20-9980846","855-M20-9980846","4"
"J6","10129381-910002BLF","10129381-910002BLF","649-1012938191002BLF","1"
"J9-J11, J14","01x02","M20-9990245","855-M20-9990245","4"
"O1","SYM_LEA_Logo","","","1"
"O2-O5","Fiducial_medium","","","4"
"R1, R154-R156","0R0","CRCW06030000Z0EAC","71-CRCW06030000Z0EAC","4"
"R2, R3","4k7","CRCW06034K70FKEBC","71-CRCW06034K70FKEBC","2"
"R4, R5, R7, R11, R13, R15, R16, R21, R23, R24, R31, R43, R78, R83, R94-R96, R98","680R","CRCW0603680RFKEAC","71-CRCW0603680RFKEAC","18"
"R6, R8-R10, R12, R14, R17-R20, R22, R25-R30, R32-R42, R44-R77, R79-R82, R84-R93, R97, R99-R153","100R","CRCW0603100RFKEAC","71-CRCW0603100RFKEAC","132"
"TP3-TP6","TP_Keystone_Electronics_5019","5019","534-5019","4"
"U1","TPS73733DCQ","TPS73733DCQG4","595-TPS73733DCQG4","1"
"U2","~","ERF5-075-05.0-L-DV-TR:2","200-ERF507505.0LDVTR","1"
